r,c
http://example.org/B7205e04f8558078b98a41e63dc2e434d,LOC
http://example.org/Be19f2a59adff11d6afad1f0a7170814a,420008001
http://example.org/B1dc25f88f007b4c383b8170511654f48,LOC
http://example.org/B07f534db3865ab637d35ea1e66f737bf,420008001
http://example.org/Ba33eb063870081f8b153d95370341583,active
http://example.org/B56ec8dfc2c924e0600d596f8da298514,active
http://example.org/B3bd67f970256ef00ac1b506290ca68a1,420008001
http://example.org/B9eac84b8b1a20028e6a43c5b5da0111e,271749004
http://example.org/B49213b40ab3e7a82d454bf550a09f719,LOC
http://example.org/B5ed682f14a3a222eebda259f0a4b936e,225517006
http://example.org/B43d79fe1240344ca1dfed363ffda2076,271749004
http://example.org/Be3f4cbce4c04569d018ab9a33fa6f296,420008001
http://example.org/B99b807751e19a5f82cf6d734fdb87de9,active
http://example.org/B20f3f70fa9460c7e90f576c0ceaf368f,LOC
http://example.org/B6dc5fa14072f920a887c87287e7af9d2,active
http://example.org/B110862e2688d4511aa2129d70de3e3bb,active
http://example.org/B4b8555076a87a2bb36a4825f9c1de552,confirmed
http://example.org/B9ed1639f04c4942f5cc92103234ae51f,active
http://example.org/Be8b2cba3093847b5a84706c9a9d509d7,active
http://example.org/B34c4c4488b71901e7f5eca248b159c12,77386006
http://example.org/B5ad47e83f8e5d90c91cd37671dfbdca8,LOC
http://example.org/B2aa657eb35bd6a793b4dc748aaf4cfc0,confirmed
http://example.org/Bf27221c57ac313e98910b5779eb22eb9,active
http://example.org/B7753bdfc81d9f66abe6303808faea592,active
http://example.org/Bf8eb480ff44312f8fd902476c63ec481,225517006
http://example.org/B9350a81cc024c3d9b052b0eb391c0df9,LOC
http://example.org/B2502085b266eb7d5fb9a41f1d0dfd19e,confirmed
http://example.org/B06653da23df7ab2548fbcc6125cb869c,LOC
http://example.org/B8368018d92539646767b96603d909c3c,420008001
http://example.org/B2625bffe9a698e98fbcc1327ba157fbd,active
http://example.org/B3557125ac43915f804e3fb3a09951eb5,420008001
http://example.org/Ba92ba12cd54b8f38c8c353cfae3ec63b,LOC
http://example.org/Babf6271c75a212ef864a6c747fd2eabd,77386006
http://example.org/B59355591b4d3dd0c1d5c21faafe21ce4,420008001
http://example.org/B520e5696a74c87a8a10e6312d70e03af,active
http://example.org/Bcde1afa1b5ff04637915eca13b75dcb8,77386006
http://example.org/B8102f6f6775f99483514e19b5bd5ed92,confirmed
http://example.org/Bf657cf77d170c0834e1d4a6e2d177127,77386006
http://example.org/B45049c34a71ffbb09f6fff95b8a65446,420008001
http://example.org/B0cd5877c69ed512de1a892de9097f059,LOC
