r,c
http://example.org/Bb218f508b06fa74a62308abd98e33921,420008001
http://example.org/Bf675e36f4b43803be7745607f0847494,confirmed
http://example.org/B32ddc8b3ebe7ec49d89433cdaf17a239,225517006
http://example.org/Bfa058b0facfd7b4d7e41a2c1ffbaf622,77386006
http://example.org/Bdff58d16d722f2145c4b1c58bcecc0c5,77386006
http://example.org/B2959c86eedea668598fc802eeb4fd67c,225517006
http://example.org/B78816f31e3904c0ea924605e315e105f,confirmed
http://example.org/B16b7671fefee9f26080828a9f7d86e73,confirmed
http://example.org/B58de2ed786e72fc5723a975e6191f998,420008001
http://example.org/B3f707178d2e95bb8ea9928dbd6d177be,271749004
http://example.org/B860f5e497928b51acfdb9fe81afcd994,confirmed
http://example.org/Ba1321e4b5814fc1c5eedbcb2b3f978d8,confirmed
http://example.org/Bcf8464f9ab6233db032feb47b5184d44,420008001
http://example.org/Be2970d3b92a5f3bdf01551fd912006be,9826008
http://example.org/Bb1fb507752586293a0f6b3a1f10fddca,confirmed
http://example.org/B7e3142584ba59cd2b1aa2204054d19f6,active
http://example.org/Bf749cf413df68408c5a8a593282e8143,active
http://example.org/Be977e44e759cafeb41d210a47a9ab4ea,420008001
http://example.org/Bf63832e35e0f203e8ddbf728a8b4a88e,LOC
http://example.org/B846d7961b568969d76236783f2ec0da5,225517006
http://example.org/Bdcd4f33d2df8ad359cc7b249da30692f,confirmed
http://example.org/Ba39d2e922abdbf127a42479318a5ef79,confirmed
http://example.org/Bddabd7b6c0409fbc3df25e2cd829db80,confirmed
http://example.org/B2cf7c7808a29ddbb2846475f001599c1,225517006
http://example.org/Be52821b321569f39c5000e47b33002c7,LOC
http://example.org/B96086638d6d9bd8ac4661f4adb61dcad,77386006
http://example.org/B0bc307db6da92fd88e9a5d81714e5833,confirmed
http://example.org/B083f6f81c2548e376cee015282632039,confirmed
http://example.org/B2433875614ae1cdeec720636703a3a23,confirmed
http://example.org/B8c3d3a5460c92529b7f748c844d611b6,confirmed
http://example.org/Be5259b439577b796629a99e7edec1ef9,271749004
http://example.org/Bf0393809a76d0edabac6acfefbd360ef,active
http://example.org/B8d2b5b801efc9fbc01bc2ce81bc20434,LOC
http://example.org/Bf030760539533615da2c4c3914ec4200,225517006
http://example.org/Bdabf7fd3fdd1679810fae0a9a5723300,271749004
http://example.org/B2e6909295bac90acf03504726af1a9ca,active
http://example.org/B23020954328bb6714acbfd505c54a724,LOC
http://example.org/Be22e0747b6b4674cbe14fbbd8fdae6e6,9826008
http://example.org/B2887404a4492e6ea34af21b258cda80b,271749004
http://example.org/B95aee435bd7f478bc933bd0075964499,271749004
http://example.org/B8465bcd3c91633907360beed468f096b,confirmed
http://example.org/B5f08f6c856aba3da8e7ec96bf56185ef,active
http://example.org/Bb5a24a385206241591732b52eb0b9f27,active
http://example.org/Babc58b8f7fd48ed5ca8c77ed35d944e0,active
http://example.org/B198828c6fb06a91f0479001fa946f177,77386006
http://example.org/Bc2770f50bbbd179564e8dbe4c3c3b36f,confirmed
http://example.org/B6916bce7baf6ff00a88b0271637c086c,77386006
http://example.org/B9ef151b35d3ccd0fa3032a1810fd14e1,active
http://example.org/Bd018c6ccfb762ba3d80056c97cb87564,active
http://example.org/B259343b72ca7cf3e5ab34c9483bc78eb,active
http://example.org/Bbf4a23c2758390828d39a927bcf77505,active
http://example.org/Ba37689e241e432cb6036bf6e48d3c5bb,271749004
http://example.org/B962f7e7ba3b5f63c9846e359d35f873b,confirmed
http://example.org/B005a55075833ac9560bea13f9cfc7eda,LOC
http://example.org/B3981dcc130e80d890b7a2933745e1869,77386006
http://example.org/Bbaee701ac6a7f0c1bdcc85fd51887155,9826008
http://example.org/Be1e7bc9279f7737fbe4c2e01f5330782,active
http://example.org/B9985c6de45952e5cb248f8ec1a813da4,confirmed
http://example.org/B07017c88c5cdb3472d3a27a9ab2e594c,confirmed
http://example.org/Bbc60e3070f1c40f8da38b4877073903a,active
http://example.org/Bb247ce1ef51dc11d38b81333db669ac3,225517006
http://example.org/B028bfcd59cc4f57564687257d2f2899a,LOC
http://example.org/Bbc42d91076fdd035cd1fb436a1506d7b,420008001
http://example.org/B643cccef1db3f39df15054e9dccaaeaf,confirmed
http://example.org/B8016982e9561eedd581601bf4cad3145,confirmed
http://example.org/B6baf435a978782d3bf0408a007b88098,confirmed
http://example.org/Be69e0c3e56455414808df7390e3dc85a,confirmed
http://example.org/Bed436ce33b22f2db80069506874d4534,active
http://example.org/Bd578d3ebf8eafd3b73c524fe7f191db3,confirmed
http://example.org/B98b8bde37a3ded4335c4241a75029cc5,LOC
http://example.org/B842c61b04f311bfa2667570966746e8a,active
http://example.org/Bf9021289f060ddb1ea1f16a4781cfd8c,active
http://example.org/B7a2362db3342a140e1f6246f2ba226cc,confirmed
http://example.org/B097d721f329edc5e99818a668bd5dfb7,confirmed
http://example.org/B6ebc3fd02b145d23ce6dfa858a26bf2c,LOC
http://example.org/B4698e17839d08a8b71bb2d1061f03894,active
http://example.org/B48a82e64e19b4d791ef700f512bd9dad,LOC
http://example.org/Bf9fe14f4a1c8fbaefc1cdaf83b98afe9,271749004
http://example.org/B107d2f25ef27df73b61193c25e98f832,420008001
http://example.org/B569dd4cc54a47f02930da2c958fb97b1,confirmed
http://example.org/Bbf6f270e76b370b5594f1797bfa26b26,420008001
http://example.org/B96466e42c8817f82eb2421ffc29e833a,77386006
http://example.org/B6edaaf2d9afa6e00d965764b89e33636,77386006
http://example.org/B0ef2e7547604e4187dcbf6cd70945a48,LOC
http://example.org/Bc9f0d89c3da8dbec5b59a898107b2bff,active
http://example.org/B263e5598f174c43ae8cb278b4250645b,active
http://example.org/B88416640285b7ed17efa4558939b93bc,active
http://example.org/B2422275a69fa38e6cf94fc482d37d508,LOC
http://example.org/Be18091b31d66ebc397c57f08bc8ebb62,LOC
http://example.org/Bb9897cab354dae7ac0d15be2a3928606,LOC
http://example.org/Ba673e8318e25fab52248f611d021ddcc,420008001
http://example.org/Bd5da9f52652497df96667b9522fb44c3,420008001
http://example.org/Bcad914577d722acd0234b3f3ef4293d4,confirmed
http://example.org/B5b8a7aaca4d9db22c04871d71a063433,271749004
http://example.org/Bcfe8e218e480f710c2c6c1478e9289c8,77386006
http://example.org/B8784863d173d8df927b1583808c70dc4,confirmed
http://example.org/B19f542ad71904780a46206053029f372,confirmed
http://example.org/B886b58eb8a2a3643680fdca991c0a1fa,active
http://example.org/B9f10f3e40fab2d08a12340593a69fd2f,active
http://example.org/Bb61f0a402663d0087ed0b58efad8e19d,LOC
http://example.org/Bb4816d29ccdba91b1b6291d09f4402a1,77386006
http://example.org/B94069e964bc09467fc225bf94460e9c8,420008001
http://example.org/Ba09d52cd1f87aaaa6901013f02a923ca,confirmed
http://example.org/B3568f1b99f36265dc08893ecd2e68a6b,confirmed
http://example.org/B6c7bc03365f212d8ab388adb0543e81f,LOC
http://example.org/Ba16b21beaa90f2ffab8555d9358e4b46,active
http://example.org/Bcfcb9fd70f343cadf40298a484298e7b,271749004
http://example.org/B8b6f67af71641e24fa88b5671fb7e8a2,225517006
http://example.org/Bf891f429b12d85f00ee0b2df06f5a12c,confirmed
http://example.org/Ba3516ac72a324815a241c03b88a7eb49,271749004
http://example.org/Bee5a0e0bd4d1010319afc21cb7af5a91,420008001
http://example.org/B565b862a83d4d5c6e94aa6d54ffd8501,9826008
http://example.org/B47c765e1ac23ee9a71cc04809ca7ccd1,confirmed
http://example.org/Be18922e3eb104b84782249f0c676f92e,271749004
http://example.org/B870b1d372244083a640704de047f7951,77386006
http://example.org/B91e5f36e6449c97a1c36757a7bfdf6d4,confirmed
http://example.org/B41275b7371c97515130cb8a5af700ee9,active
http://example.org/Bfe799558c6b0f98b2f3d0d8467603004,420008001
http://example.org/Bb5019391a54402e797f26ab57f5cdd29,420008001
http://example.org/B91518510d03eb86867a5e797e735bf42,225517006
http://example.org/B105d06909a502c2658eed958b828117d,77386006
http://example.org/B31329009b5e8279c8aa3bfa548b997e1,77386006
http://example.org/B0686f1d65bfb6dbb69a4426325944ff0,active
http://example.org/B769d5713fb972821bd022ae7fa3e6911,77386006
http://example.org/B5b6bd325b2752eb3b407a6b9eef50a81,420008001
http://example.org/B5fcf4baf312ae2d5f2740f6c4b60cee8,77386006
http://example.org/B9733c014d956985dc829147d509e8ced,LOC
http://example.org/B382ab57be09636993bb8f2c747ed2be6,225517006
http://example.org/B757f01ce8ad9a16ad161d817f2cd486a,LOC
http://example.org/B1da2d8ad48da9cb6ba74eba50193465a,420008001
http://example.org/B544e01e5a4bcdd250107e864297c82f3,LOC
http://example.org/B99bb61c6fc338d03012bbd70e2920e17,LOC
http://example.org/Ba3d7b352d180176bc05bcec8c4abf5e9,active
http://example.org/B671c9b89e06612b9c5ea7bab1f1bae6b,420008001
http://example.org/B5e3fd03cda2924a719fc755257100c85,active
http://example.org/Ba207caef250f05555133a20e9e552a2a,active
http://example.org/Bc9bac3ff74033844b237d9013cb7c787,active
http://example.org/Bb24fb522877d65eacb6baab313076877,77386006
http://example.org/B6f0c82221ec36dd8f6f0ce6dbd4a260f,active
http://example.org/B00fceacbb6a10e1b65bf158f866fb74b,9826008
http://example.org/B981f6b0a49bbdc42bcee0827763a4b24,LOC
http://example.org/B53c167cffe924d399aa1d7d05eba176f,225517006
http://example.org/Be3e233482505c4a7673291ddc4101cfc,active
http://example.org/Beaf413dd1a959fac0384f41902274d9e,active
http://example.org/B887cdd3e5bbd393b72c0c21b585f0a0e,active
http://example.org/B830c792539f92638a7a5b737c06f147c,confirmed
http://example.org/B54e948c6d325beceb5541d703fd0ed12,active
http://example.org/B5183fb2ce916c94b44e07401352e6728,confirmed
http://example.org/B7e98d6436b2801ff531282c5e1ed9afe,271749004
http://example.org/Be1f44e62030d5ad50480c444c0ebe8e3,271749004
http://example.org/B754a60a454abc6600233ab435dae827d,420008001
http://example.org/B8a67a872993f8be8bba4e112b5338b35,active
http://example.org/B8871a3315e4195107f266e5b04fbb881,confirmed
http://example.org/B816a6d4986328bb3a1324511f2b25985,active
http://example.org/B8abd01f00b0eff3c4947be7dd0ea4fad,420008001
http://example.org/B2ac8a749a8c17b4da2bfb4c850747cf5,9826008
http://example.org/B009963f630dfc5a76fd1d0b1e951b281,active
http://example.org/B3737b0d540c20142e5032b463c5a5b01,confirmed
http://example.org/Bc6416cd18ac051dd772ec2ada6be94f9,77386006
http://example.org/B2b72deda8978ade825a818e213bab16c,confirmed
http://example.org/B2070ffe745a4ebc3efd7412d178d2d44,420008001
http://example.org/B8be10d954aac7eaa3670129b1e583c2b,active
http://example.org/B92b3889a7493473f4f567e9165a7a8de,271749004
http://example.org/Bd45e2a6a1373725abe88e3e15f38362d,confirmed
http://example.org/B2e751a6e1b1d4d583066fda1e03917ce,confirmed
http://example.org/Ba8dee166609056537cc8fd09501b2bca,225517006
http://example.org/Bb7a1c5a5388dc3ffc84ec393c17cfa33,confirmed
http://example.org/Bab3ae15d4c95aa1dffe4eee81ecebc9f,77386006
http://example.org/B66ce4ca3b0d3f9a29825b2a4928fdf53,225517006
http://example.org/B10591ea3ec6e3e12a575f41a03db4211,active
http://example.org/B8614b6a22c7a92842c0ded6c66978934,confirmed
http://example.org/Bb8f7286d9f209e0a1adb382ef38580ac,LOC
http://example.org/Bd9ca6bdad98e6c5d80116eddf5c4bd76,confirmed
http://example.org/B44062ad9795b18f696c5750981d8b9f5,LOC
http://example.org/B625e9e72e42325be7a42a256714f86be,225517006
http://example.org/Bcf43187452803cabfaba226e2a4ccefe,confirmed
http://example.org/B40b682a5e28bcf5b8326f99772bae36f,225517006
http://example.org/B97122201b027b1f0156cfb7ffdf0ea58,LOC
http://example.org/B3a9b9b4665c714614b15e19ca5971a6d,active
http://example.org/Bd135a5eb247447c137ceb34d85cf9f14,LOC
http://example.org/B70283769c9c6fb1098e60eac65b6a089,active
http://example.org/Bbb7df59b74dca14aaf31dd71d9da7b26,confirmed
http://example.org/Babb71321baa661ad3e0432263a2ae4c8,active
http://example.org/Bc566fde4094ea20b0b7e0e0004c2b2c8,225517006
http://example.org/B03db36108290020d3a11f2830e7362ab,active
http://example.org/B87673e454e2015ad664a01c5196a27c4,LOC
http://example.org/Bf43c99b9f51c9917502d35db07326b56,active
http://example.org/B960887e53835fd7d1f3be52bf0d134a0,confirmed
http://example.org/B6577c609a73816d6ec969673307e4aca,271749004
http://example.org/B815353dfbb38e3709f43823cf66d1600,active
http://example.org/Be77aca60061e111632493f4c5648c373,225517006
http://example.org/Bd93175b0cf6ef0440244216e20aa3c14,active
http://example.org/Bc8c0fabb7d811b4a5005cbc6aebfc0d7,420008001
http://example.org/B689387a70a90f0d3830b1e0a87e3b1ee,confirmed
http://example.org/Bf45be16bd7acacb912668ab92974e882,active
http://example.org/Bbdf30c67bbf41737dd730707bd5d8659,77386006
