query,data,type,phase,netw_time,reas_time
query-0.n3,data.n3,direct,n/a,12,736
query-0.n3,data.n3,bwd,create,16,51
query-0.n3,data.n3,bwd,run,-1,-1
query-0.n3,data.n3,bwd,total,15,50
query-0.n3,data.n3,fwd,create,15,50
query-0.n3,data.n3,fwd,run,14,9
query-0.n3,data.n3,fwd,total,29,59
query-1.n3,data.n3,direct,n/a,10,12
query-1.n3,data.n3,bwd,create,15,59
query-1.n3,data.n3,bwd,run,13,2
query-1.n3,data.n3,bwd,total,28,61
query-1.n3,data.n3,fwd,create,15,60
query-1.n3,data.n3,fwd,run,13,6
query-1.n3,data.n3,fwd,total,28,66
query-10.n3,data.n3,direct,n/a,10,5
query-10.n3,data.n3,bwd,create,16,63
query-10.n3,data.n3,bwd,run,15,1
query-10.n3,data.n3,bwd,total,31,64
query-10.n3,data.n3,fwd,create,16,63
query-10.n3,data.n3,fwd,run,15,3
query-10.n3,data.n3,fwd,total,31,66
query-11.n3,data.n3,direct,n/a,10,29
query-11.n3,data.n3,bwd,create,16,58
query-11.n3,data.n3,bwd,run,12,8
query-11.n3,data.n3,bwd,total,28,66
query-11.n3,data.n3,fwd,create,19,59
query-11.n3,data.n3,fwd,run,11,12
query-11.n3,data.n3,fwd,total,30,71
query-12.n3,data.n3,direct,n/a,9,327
query-12.n3,data.n3,bwd,create,16,54
query-12.n3,data.n3,bwd,run,11,95
query-12.n3,data.n3,bwd,total,27,149
query-12.n3,data.n3,fwd,create,16,55
query-12.n3,data.n3,fwd,run,11,28
query-12.n3,data.n3,fwd,total,27,83
query-13.n3,data.n3,direct,n/a,10,2
query-13.n3,data.n3,bwd,create,16,38
query-13.n3,data.n3,bwd,run,9,0
query-13.n3,data.n3,bwd,total,25,38
query-13.n3,data.n3,fwd,create,16,39
query-13.n3,data.n3,fwd,run,9,1
query-13.n3,data.n3,fwd,total,25,40
query-14.n3,data.n3,direct,n/a,-1,-1
query-14.n3,data.n3,bwd,create,15,58
query-14.n3,data.n3,bwd,run,13,8667
query-14.n3,data.n3,bwd,total,28,8725
query-14.n3,data.n3,fwd,create,15,59
query-14.n3,data.n3,fwd,run,11,20
query-14.n3,data.n3,fwd,total,26,79
query-15.n3,data.n3,direct,n/a,10,0
query-15.n3,data.n3,bwd,create,16,24
query-15.n3,data.n3,bwd,run,8,0
query-15.n3,data.n3,bwd,total,24,24
query-15.n3,data.n3,fwd,create,15,25
query-15.n3,data.n3,fwd,run,7,1
query-15.n3,data.n3,fwd,total,22,26
query-16.n3,data.n3,direct,n/a,9,205
query-16.n3,data.n3,bwd,create,16,77
query-16.n3,data.n3,bwd,run,14,86
query-16.n3,data.n3,bwd,total,30,163
query-16.n3,data.n3,fwd,create,16,78
query-16.n3,data.n3,fwd,run,14,78
query-16.n3,data.n3,fwd,total,30,156
query-17.n3,data.n3,direct,n/a,10,6
query-17.n3,data.n3,bwd,create,16,47
query-17.n3,data.n3,bwd,run,13,2
query-17.n3,data.n3,bwd,total,29,49
query-17.n3,data.n3,fwd,create,15,48
query-17.n3,data.n3,fwd,run,12,3
query-17.n3,data.n3,fwd,total,27,51
