r,c
http://example.org/B1f085e7c62d27827254feedbd0f56e1e,active
http://example.org/B1a0d1fcf413b781b1535c9c0b9d15de0,active
http://example.org/Bd91ce335456398292df3d3030dd57e66,confirmed
http://example.org/B6e56ddc1d8224feebeb24ad1c130b7ef,confirmed
http://example.org/Ba64cdc53e9746b96daf221733341656a,active
http://example.org/B857997ab924c9842f1400671a5c8f67b,confirmed
http://example.org/Ba7060d7acea8f80a42de069063605145,9826008
http://example.org/B5718153fd8a22f87e86c438c13e98499,420008001
http://example.org/B3164f603556b50f51f829f71fa136102,77386006
http://example.org/B3e4472b06c7d48e3b8d362460cae0ed0,active
http://example.org/B9aab8260a77189416e947c1f4c86677a,confirmed
http://example.org/Bd52754bab5c7645adfddf2b563404691,77386006
http://example.org/Bf140c62b076f8d53cb22e88259702d66,active
http://example.org/Bbaa1f37db041c657c8dce44573fe52fd,confirmed
http://example.org/Bc5de08af5171625c7a1212c4536f4aee,271749004
http://example.org/B54b8dde45b206aa87deae99547c4c10d,active
http://example.org/Bb9bb45a1b533e5685bc427690cad83ba,confirmed
http://example.org/B74c37011e75ed3e216f7e4e517549b0d,77386006
http://example.org/B6a18e7bd89ec650ea82005d5094aa673,225517006
http://example.org/B90c49c9cb12eb71300c34e785dea664b,9826008
http://example.org/Bae6b54118858aba64bc6b1d00d3de45a,9826008
http://example.org/Bfb30f7c6b9fce6b7ff39de55d1d3b15c,225517006
http://example.org/B80de617f0e58013087c12b3d7e784867,77386006
http://example.org/B4bf0e96414d997ed04f1dc6e2a934c3d,77386006
http://example.org/B565d00f289432034827555dc4e2c8a08,active
http://example.org/B8189487d1718f4bdb150555c789f62e6,active
http://example.org/B547465271bb0fba84ed3cf3875d4a9f6,77386006
http://example.org/B5030600ef33d4736869a7704eb4e880c,271749004
http://example.org/Be27203770553abf6409f1f6adcf01bcd,225517006
http://example.org/B350df289546bf3308a451792c366e0bb,420008001
http://example.org/B89994c395c35c81a8e0b6a3ceca9b70e,confirmed
http://example.org/B0bcf9b34bd2bb3f5ddf1f70ec23bb530,271749004
http://example.org/Bf6ed313d23d4ec2e381e279b531a8963,active
http://example.org/B44696670ce2c45bb633401509d52cf62,225517006
http://example.org/B5faa602e870dfe4622f89133d5d07a91,active
http://example.org/B4b409adfc5461dea0647fbfc282f3d65,active
http://example.org/Ba6571e569f02b950c06bf6671a92b62f,420008001
http://example.org/B548926e2e62a71780a0e702832c3a7e9,271749004
http://example.org/B1a42ea63ceef4a0393ecda93c5099040,LOC
